c Instance Type k
c
n 100
c w	 v1	 v2
i 840	 394 	 662 
i 798	 911 	 37 
i 335	 768 	 186 
i 554	 477 	 548 
i 365	 513 	 577 
i 916	 636 	 407 
i 142	 607 	 295 
i 243	 138 	 922 
i 157	 401 	 524 
i 109	 998 	 22 
i 513	 839 	 183 
i 296	 637 	 367 
i 494	 972 	 37 
i 771	 527 	 526 
i 400	 891 	 64 
i 353	 807 	 276 
i 70	 949 	 79 
i 86	 193 	 839 
i 890	 349 	 562 
i 21	 458 	 453 
i 239	 970 	 117 
i 851	 267 	 740 
i 375	 760 	 242 
i 668	 532 	 374 
i 438	 931 	 157 
i 721	 285 	 762 
i 640	 354 	 683 
i 166	 440 	 635 
i 829	 331 	 614 
i 893	 351 	 686 
i 956	 589 	 442 
i 858	 440 	 644 
i 399	 814 	 222 
i 911	 483 	 459 
i 950	 920 	 26 
i 881	 641 	 344 
i 619	 281 	 775 
i 308	 447 	 497 
i 188	 276 	 734 
i 417	 170 	 911 
i 104	 126 	 872 
i 760	 984 	 108 
i 684	 383 	 666 
i 369	 294 	 651 
i 584	 245 	 684 
i 732	 126 	 932 
i 164	 745 	 168 
i 950	 53 	 926 
i 177	 240 	 819 
i 732	 656 	 437 
i 639	 759 	 158 
i 135	 520 	 394 
i 70	 205 	 786 
i 819	 573 	 477 
i 52	 158 	 941 
i 205	 890 	 34 
i 997	 55 	 979 
i 73	 5 	 991 
i 594	 181 	 750 
i 392	 913 	 153 
i 359	 552 	 463 
i 453	 687 	 232 
i 531	 757 	 203 
i 992	 577 	 498 
i 748	 629 	 277 
i 748	 833 	 252 
i 873	 831 	 264 
i 744	 903 	 193 
i 667	 497 	 434 
i 830	 889 	 25 
i 650	 248 	 777 
i 229	 700 	 262 
i 329	 232 	 681 
i 633	 224 	 805 
i 511	 971 	 36 
i 546	 719 	 202 
i 472	 592 	 496 
i 451	 337 	 732 
i 435	 4 	 931 
i 598	 833 	 113 
i 675	 483 	 512 
i 305	 712 	 223 
i 622	 41 	 916 
i 696	 674 	 353 
i 347	 185 	 836 
i 627	 730 	 235 
i 740	 203 	 881 
i 685	 653 	 297 
i 532	 88 	 860 
i 877	 686 	 231 
i 112	 362 	 652 
i 593	 666 	 291 
i 775	 289 	 676 
i 190	 984 	 0 
i 827	 332 	 604 
i 437	 958 	 130 
i 765	 699 	 224 
i 686	 384 	 670 
i 943	 916 	 158 
i 204	 793 	 216 
c
c
W 26665
c end of file
