c Instance Type k
c
n 100
c w	 v1	 v2
i 677	 700 	 208 
i 309	 312 	 642 
i 936	 268 	 796 
i 21	 921 	 145 
i 994	 688 	 232 
i 879	 795 	 132 
i 467	 791 	 157 
i 173	 921 	 73 
i 626	 836 	 82 
i 171	 758 	 260 
i 128	 436 	 521 
i 173	 745 	 275 
i 450	 681 	 393 
i 273	 701 	 357 
i 88	 696 	 300 
i 197	 575 	 379 
i 336	 42 	 866 
i 583	 215 	 883 
i 992	 840 	 225 
i 92	 12 	 953 
i 685	 140 	 763 
i 978	 313 	 740 
i 583	 762 	 226 
i 457	 36 	 883 
i 251	 124 	 944 
i 734	 320 	 663 
i 12	 655 	 336 
i 81	 238 	 796 
i 71	 231 	 771 
i 897	 323 	 682 
i 483	 9 	 963 
i 504	 987 	 110 
i 271	 570 	 478 
i 718	 28 	 971 
i 866	 278 	 802 
i 711	 12 	 911 
i 131	 24 	 984 
i 591	 104 	 817 
i 267	 175 	 793 
i 783	 72 	 942 
i 312	 554 	 481 
i 978	 59 	 946 
i 958	 329 	 617 
i 701	 47 	 890 
i 479	 913 	 100 
i 381	 624 	 385 
i 601	 754 	 260 
i 477	 346 	 689 
i 592	 613 	 457 
i 937	 397 	 687 
i 605	 708 	 287 
i 283	 687 	 320 
i 946	 646 	 427 
i 181	 347 	 735 
i 443	 826 	 239 
i 982	 207 	 782 
i 535	 808 	 132 
i 110	 286 	 724 
i 788	 877 	 55 
i 642	 814 	 198 
i 567	 420 	 533 
i 47	 702 	 389 
i 584	 649 	 371 
i 451	 830 	 259 
i 365	 273 	 782 
i 193	 256 	 840 
i 644	 790 	 268 
i 850	 900 	 15 
i 403	 689 	 401 
i 569	 331 	 722 
i 131	 898 	 38 
i 402	 944 	 138 
i 359	 529 	 478 
i 961	 980 	 44 
i 912	 346 	 682 
i 688	 538 	 541 
i 672	 182 	 855 
i 463	 33 	 944 
i 540	 436 	 518 
i 494	 5 	 958 
i 262	 136 	 865 
i 450	 537 	 452 
i 340	 895 	 201 
i 879	 857 	 235 
i 249	 769 	 191 
i 891	 458 	 610 
i 789	 130 	 774 
i 478	 592 	 319 
i 68	 133 	 865 
i 346	 626 	 373 
i 955	 887 	 139 
i 464	 338 	 595 
i 916	 677 	 235 
i 897	 557 	 527 
i 859	 805 	 233 
i 167	 697 	 232 
i 13	 487 	 468 
i 40	 965 	 117 
i 100	 33 	 866 
i 596	 379 	 646 
c
c
W 25312
c end of file
