n 101
c  w 
i 22 	 22 	 24
i 5 	 16 	 31
i 13 	 21 	 31
i 13 	 17 	 14
i 17 	 28 	 13
i 15 	 22 	 30
i 18 	 14 	 15
i 13 	 13 	 13
i 10 	 18 	 33
i 22 	 25 	 30
i 20 	 22 	 18
i 11 	 26 	 25
i 7 	 13 	 11
i 4 	 26 	 19
i 8 	 18 	 12
i 11 	 33 	 24
i 8 	 26 	 29
i 13 	 13 	 32
i 16 	 22 	 15
i 14 	 20 	 30
i 11 	 16 	 18
i 18 	 25 	 34
i 9 	 32 	 13
i 11 	 10 	 29
i 19 	 17 	 12
i 21 	 28 	 11
i 12 	 34 	 27
i 6 	 21 	 31
i 4 	 12 	 19
i 8 	 26 	 30
i 5 	 11 	 11
i 12 	 29 	 27
i 12 	 12 	 24
i 15 	 23 	 24
i 10 	 17 	 32
i 12 	 14 	 25
i 14 	 25 	 24
i 7 	 30 	 11
i 4 	 33 	 14
i 13 	 15 	 30
i 8 	 18 	 31
i 9 	 30 	 26
i 2 	 16 	 29
i 16 	 30 	 17
i 7 	 14 	 25
i 4 	 26 	 29
i 18 	 15 	 20
i 9 	 20 	 15
i 10 	 23 	 13
i 14 	 10 	 19
i 10 	 17 	 28
i 7 	 26 	 23
i 23 	 27 	 30
i 18 	 17 	 26
i 2 	 23 	 31
i 16 	 26 	 22
i 11 	 19 	 27
i 20 	 26 	 13
i 2 	 11 	 27
i 6 	 25 	 27
i 15 	 10 	 10
i 9 	 16 	 26
i 21 	 14 	 18
i 17 	 31 	 26
i 9 	 32 	 14
i 5 	 22 	 30
i 17 	 32 	 14
i 11 	 27 	 31
i 14 	 28 	 33
i 7 	 33 	 23
i 23 	 22 	 23
i 23 	 29 	 30
i 15 	 26 	 34
i 23 	 18 	 31
i 15 	 25 	 28
i 19 	 29 	 16
i 15 	 21 	 14
i 20 	 31 	 31
i 17 	 20 	 25
i 15 	 26 	 23
i 5 	 24 	 10
i 18 	 22 	 30
i 13 	 12 	 22
i 13 	 11 	 30
i 10 	 25 	 21
i 5 	 20 	 16
i 11 	 10 	 27
i 15 	 30 	 24
i 12 	 21 	 34
i 3 	 11 	 26
i 15 	 15 	 15
i 16 	 33 	 28
i 12 	 20 	 31
i 23 	 33 	 32
i 19 	 18 	 23
i 7 	 21 	 33
i 12 	 32 	 34
i 6 	 21 	 29
i 19 	 32 	 16
i 19 	 34 	 18
i 11 	 24 	 23
c c
W 12
c end of file

