n 101
c  w 
i 21 	 19 	 29
i 20 	 32 	 14
i 9 	 29 	 16
i 14 	 21 	 25
i 10 	 22 	 33
i 23 	 25 	 27
i 5 	 25 	 10
i 7 	 13 	 30
i 5 	 20 	 13
i 4 	 34 	 15
i 13 	 30 	 25
i 8 	 25 	 23
i 13 	 34 	 17
i 19 	 23 	 29
i 11 	 32 	 17
i 10 	 30 	 32
i 3 	 33 	 23
i 3 	 14 	 26
i 22 	 18 	 11
i 2 	 21 	 11
i 7 	 34 	 32
i 21 	 16 	 23
i 10 	 29 	 22
i 17 	 23 	 10
i 12 	 33 	 33
i 18 	 17 	 28
i 16 	 18 	 27
i 5 	 21 	 32
i 21 	 18 	 15
i 22 	 18 	 27
i 23 	 24 	 26
i 21 	 20 	 33
i 11 	 30 	 27
i 22 	 22 	 15
i 23 	 33 	 13
i 22 	 26 	 20
i 16 	 17 	 29
i 9 	 21 	 15
i 6 	 16 	 23
i 11 	 14 	 32
i 4 	 13 	 22
i 19 	 34 	 33
i 17 	 19 	 28
i 10 	 17 	 15
i 15 	 16 	 13
i 18 	 13 	 29
i 5 	 28 	 11
i 23 	 11 	 23
i 6 	 16 	 29
i 18 	 26 	 34
i 16 	 28 	 12
i 5 	 23 	 11
i 3 	 15 	 21
i 20 	 24 	 28
i 3 	 13 	 34
i 6 	 32 	 13
i 24 	 11 	 31
i 3 	 10 	 33
i 15 	 14 	 14
i 11 	 32 	 30
i 10 	 23 	 24
i 12 	 27 	 12
i 14 	 28 	 17
i 24 	 24 	 31
i 19 	 25 	 10
i 19 	 30 	 33
i 22 	 30 	 34
i 19 	 32 	 34
i 17 	 22 	 14
i 21 	 32 	 11
i 16 	 16 	 25
i 7 	 27 	 17
i 9 	 15 	 11
i 16 	 15 	 26
i 13 	 34 	 17
i 14 	 27 	 12
i 12 	 24 	 33
i 12 	 18 	 31
i 11 	 10 	 18
i 15 	 30 	 15
i 17 	 22 	 22
i 9 	 27 	 14
i 16 	 11 	 20
i 18 	 26 	 25
i 9 	 14 	 25
i 16 	 28 	 18
i 19 	 15 	 33
i 17 	 26 	 16
i 14 	 12 	 16
i 22 	 27 	 12
i 4 	 19 	 24
i 15 	 26 	 17
i 19 	 17 	 18
i 6 	 34 	 10
i 21 	 18 	 14
i 12 	 33 	 32
i 19 	 27 	 13
i 17 	 19 	 29
i 23 	 32 	 31
i 6 	 29 	 23
i 8 	 32 	 32
c c
W 13
c end of file

