c Instance Type o
c
n 100
c w	 v1	 v2
i 1098	 383 	 649 
i 982	 397 	 610 
i 1046	 255 	 702 
i 1037	 762 	 137 
i 1187	 551 	 472 
i 951	 603 	 316 
i 1128	 598 	 462 
i 985	 151 	 895 
i 1057	 433 	 640 
i 1165	 732 	 345 
i 906	 133 	 820 
i 1202	 798 	 235 
i 969	 237 	 847 
i 941	 960 	 95 
i 1079	 806 	 140 
i 1242	 719 	 348 
i 1083	 300 	 686 
i 1037	 971 	 75 
i 840	 321 	 582 
i 942	 782 	 268 
i 1077	 503 	 573 
i 904	 887 	 149 
i 920	 809 	 274 
i 1120	 24 	 985 
i 842	 240 	 797 
i 1111	 75 	 895 
i 895	 13 	 966 
i 1186	 755 	 280 
i 1259	 233 	 866 
i 1116	 577 	 478 
i 970	 808 	 147 
i 821	 311 	 622 
i 952	 481 	 614 
i 708	 574 	 325 
i 1031	 352 	 595 
i 809	 366 	 596 
i 1095	 220 	 745 
i 917	 511 	 405 
i 962	 390 	 572 
i 991	 291 	 787 
i 1079	 944 	 109 
i 995	 484 	 417 
i 1084	 706 	 292 
i 1001	 849 	 64 
i 1168	 873 	 110 
i 969	 585 	 472 
i 943	 704 	 196 
i 1080	 530 	 473 
i 826	 35 	 987 
i 1101	 537 	 402 
i 971	 820 	 108 
i 1073	 387 	 638 
i 813	 124 	 842 
i 810	 840 	 95 
i 953	 560 	 350 
i 987	 523 	 505 
i 930	 803 	 165 
i 1244	 413 	 662 
i 1215	 107 	 975 
i 802	 118 	 871 
i 803	 24 	 908 
i 1152	 632 	 398 
i 911	 254 	 801 
i 953	 372 	 651 
i 887	 559 	 375 
i 849	 169 	 870 
i 948	 567 	 433 
i 988	 973 	 116 
i 767	 897 	 6 
i 970	 731 	 196 
i 1082	 765 	 167 
i 1079	 943 	 124 
i 833	 751 	 158 
i 1154	 892 	 91 
i 938	 219 	 877 
i 1051	 601 	 328 
i 967	 627 	 416 
i 959	 998 	 70 
i 917	 247 	 770 
i 919	 407 	 556 
i 931	 16 	 893 
i 845	 893 	 11 
i 1016	 425 	 630 
i 1163	 736 	 298 
i 1200	 664 	 414 
i 1180	 770 	 228 
i 993	 578 	 345 
i 868	 889 	 33 
i 1153	 118 	 854 
i 964	 369 	 685 
i 1001	 760 	 297 
i 991	 317 	 718 
i 788	 670 	 250 
i 1182	 73 	 972 
i 1094	 897 	 103 
i 846	 704 	 250 
i 1011	 661 	 410 
i 1035	 336 	 712 
i 1205	 702 	 370 
i 987	 657 	 288 
c
c
W 50094
c end of file
