c Instance Type c
c
n 900
c w	 v1	 v2
i 36	 707 	 775 
i 914	 621 	 547 
i 938	 272 	 341 
i 651	 738 	 710 
i 332	 859 	 785 
i 847	 463 	 487 
i 149	 356 	 306 
i 373	 548 	 578 
i 72	 421 	 375 
i 46	 179 	 222 
i 717	 956 	 1006 
i 291	 818 	 851 
i 473	 935 	 955 
i 179	 798 	 749 
i 21	 233 	 250 
i 418	 350 	 336 
i 694	 902 	 918 
i 187	 235 	 326 
i 535	 817 	 722 
i 613	 169 	 83 
i 564	 804 	 862 
i 360	 583 	 499 
i 288	 285 	 296 
i 62	 821 	 867 
i 199	 159 	 209 
i 468	 681 	 615 
i 358	 179 	 252 
i 499	 697 	 607 
i 294	 659 	 676 
i 359	 684 	 624 
i 140	 749 	 802 
i 671	 564 	 489 
i 867	 636 	 618 
i 667	 241 	 235 
i 722	 893 	 927 
i 364	 675 	 603 
i 441	 829 	 828 
i 102	 710 	 809 
i 718	 757 	 715 
i 363	 391 	 421 
i 82	 570 	 628 
i 591	 362 	 354 
i 183	 474 	 439 
i 330	 841 	 940 
i 210	 374 	 417 
i 845	 972 	 888 
i 653	 209 	 213 
i 328	 653 	 678 
i 56	 651 	 619 
i 371	 910 	 951 
i 888	 600 	 657 
i 171	 415 	 390 
i 579	 825 	 837 
i 401	 229 	 307 
i 697	 226 	 146 
i 666	 865 	 954 
i 776	 939 	 958 
i 387	 516 	 601 
i 994	 182 	 278 
i 894	 487 	 457 
i 445	 226 	 174 
i 787	 926 	 908 
i 591	 373 	 471 
i 725	 871 	 849 
i 855	 774 	 691 
i 704	 863 	 913 
i 636	 815 	 821 
i 92	 459 	 542 
i 173	 394 	 476 
i 596	 378 	 439 
i 726	 692 	 642 
i 643	 906 	 813 
i 938	 383 	 409 
i 794	 376 	 347 
i 540	 724 	 666 
i 387	 803 	 886 
i 180	 585 	 595 
i 571	 169 	 197 
i 890	 985 	 1048 
i 191	 907 	 889 
i 844	 735 	 662 
i 739	 959 	 1015 
i 47	 994 	 1037 
i 345	 666 	 668 
i 35	 983 	 893 
i 814	 282 	 270 
i 348	 207 	 231 
i 414	 698 	 636 
i 398	 382 	 298 
i 294	 218 	 172 
i 997	 585 	 508 
i 952	 708 	 779 
i 946	 514 	 594 
i 571	 265 	 214 
i 553	 722 	 678 
i 745	 770 	 689 
i 854	 274 	 263 
i 516	 826 	 897 
i 820	 998 	 949 
i 941	 182 	 192 
i 475	 425 	 434 
i 148	 530 	 530 
i 601	 404 	 393 
i 775	 318 	 221 
i 463	 539 	 553 
i 206	 791 	 754 
i 389	 877 	 811 
i 195	 384 	 421 
i 192	 260 	 261 
i 273	 489 	 479 
i 627	 979 	 1064 
i 99	 578 	 492 
i 429	 135 	 169 
i 662	 532 	 521 
i 144	 549 	 631 
i 909	 167 	 90 
i 771	 449 	 450 
i 80	 602 	 642 
i 248	 324 	 402 
i 673	 776 	 709 
i 650	 287 	 345 
i 177	 221 	 299 
i 205	 286 	 250 
i 678	 886 	 982 
i 172	 397 	 322 
i 236	 319 	 226 
i 616	 425 	 486 
i 170	 876 	 953 
i 410	 611 	 538 
i 159	 517 	 578 
i 358	 665 	 656 
i 482	 482 	 509 
i 680	 386 	 454 
i 552	 672 	 675 
i 874	 657 	 695 
i 110	 771 	 856 
i 463	 803 	 811 
i 324	 633 	 675 
i 886	 533 	 457 
i 344	 653 	 609 
i 967	 483 	 510 
i 385	 891 	 815 
i 695	 568 	 627 
i 327	 426 	 396 
i 941	 887 	 832 
i 684	 612 	 579 
i 464	 546 	 605 
i 52	 139 	 63 
i 527	 772 	 673 
i 138	 880 	 850 
i 556	 240 	 204 
i 435	 807 	 848 
i 949	 914 	 894 
i 304	 736 	 781 
i 177	 160 	 193 
i 741	 362 	 332 
i 231	 660 	 723 
i 263	 481 	 554 
i 7	 590 	 569 
i 871	 598 	 604 
i 18	 911 	 829 
i 801	 307 	 311 
i 705	 934 	 928 
i 409	 401 	 456 
i 465	 158 	 248 
i 747	 753 	 792 
i 366	 178 	 263 
i 782	 905 	 842 
i 322	 788 	 726 
i 869	 251 	 164 
i 770	 726 	 642 
i 991	 806 	 882 
i 917	 384 	 401 
i 244	 805 	 904 
i 298	 607 	 599 
i 20	 567 	 509 
i 96	 296 	 311 
i 988	 230 	 201 
i 751	 398 	 434 
i 909	 571 	 580 
i 601	 630 	 594 
i 384	 704 	 666 
i 691	 601 	 546 
i 472	 236 	 230 
i 32	 235 	 289 
i 545	 647 	 704 
i 753	 834 	 910 
i 888	 457 	 531 
i 212	 776 	 800 
i 729	 492 	 498 
i 313	 980 	 907 
i 980	 376 	 379 
i 532	 653 	 595 
i 673	 856 	 892 
i 813	 388 	 430 
i 416	 183 	 134 
i 230	 885 	 787 
i 619	 783 	 863 
i 368	 671 	 593 
i 796	 336 	 404 
i 775	 811 	 741 
i 74	 931 	 857 
i 683	 503 	 536 
i 522	 690 	 658 
i 834	 408 	 338 
i 916	 153 	 167 
i 788	 383 	 442 
i 544	 393 	 376 
i 175	 305 	 362 
i 429	 404 	 420 
i 216	 263 	 234 
i 139	 400 	 386 
i 580	 520 	 443 
i 232	 224 	 251 
i 566	 527 	 521 
i 614	 664 	 641 
i 921	 282 	 217 
i 240	 993 	 1037 
i 458	 477 	 556 
i 788	 288 	 252 
i 959	 807 	 814 
i 286	 237 	 272 
i 746	 621 	 572 
i 874	 724 	 722 
i 343	 403 	 314 
i 965	 823 	 857 
i 158	 279 	 297 
i 151	 436 	 502 
i 562	 188 	 145 
i 761	 984 	 899 
i 544	 383 	 290 
i 686	 863 	 827 
i 261	 577 	 490 
i 950	 806 	 894 
i 279	 354 	 311 
i 81	 404 	 354 
i 270	 112 	 93 
i 636	 639 	 650 
i 724	 489 	 413 
i 706	 747 	 823 
i 13	 816 	 801 
i 858	 849 	 771 
i 383	 247 	 221 
i 166	 308 	 272 
i 439	 257 	 277 
i 769	 511 	 547 
i 771	 734 	 824 
i 365	 208 	 226 
i 791	 704 	 666 
i 507	 812 	 716 
i 300	 707 	 613 
i 131	 198 	 276 
i 284	 298 	 252 
i 506	 630 	 617 
i 671	 918 	 993 
i 122	 566 	 595 
i 823	 285 	 268 
i 932	 244 	 300 
i 601	 769 	 784 
i 390	 159 	 75 
i 62	 177 	 153 
i 159	 206 	 208 
i 370	 999 	 1058 
i 954	 354 	 314 
i 863	 745 	 839 
i 376	 637 	 556 
i 571	 325 	 408 
i 721	 697 	 767 
i 462	 506 	 496 
i 516	 128 	 196 
i 591	 201 	 281 
i 699	 540 	 452 
i 698	 996 	 982 
i 972	 815 	 792 
i 686	 194 	 144 
i 279	 171 	 196 
i 520	 256 	 195 
i 180	 183 	 266 
i 624	 940 	 916 
i 643	 454 	 533 
i 745	 314 	 311 
i 229	 228 	 165 
i 225	 284 	 360 
i 17	 669 	 740 
i 112	 124 	 132 
i 179	 347 	 411 
i 342	 904 	 871 
i 424	 190 	 193 
i 357	 118 	 46 
i 743	 456 	 513 
i 971	 364 	 370 
i 105	 797 	 849 
i 300	 963 	 1060 
i 927	 860 	 760 
i 942	 732 	 654 
i 209	 324 	 282 
i 101	 165 	 192 
i 191	 467 	 378 
i 199	 929 	 912 
i 588	 168 	 100 
i 873	 868 	 794 
i 646	 452 	 399 
i 605	 240 	 247 
i 448	 227 	 219 
i 147	 230 	 211 
i 387	 332 	 354 
i 448	 593 	 636 
i 849	 269 	 350 
i 770	 322 	 242 
i 834	 693 	 731 
i 686	 835 	 848 
i 71	 952 	 894 
i 216	 274 	 337 
i 347	 750 	 702 
i 482	 273 	 255 
i 730	 633 	 692 
i 273	 291 	 240 
i 451	 927 	 846 
i 689	 843 	 916 
i 344	 936 	 976 
i 159	 663 	 640 
i 106	 278 	 269 
i 290	 467 	 501 
i 9	 304 	 208 
i 191	 540 	 540 
i 779	 906 	 852 
i 981	 727 	 728 
i 900	 946 	 1037 
i 724	 142 	 171 
i 653	 912 	 1009 
i 275	 646 	 575 
i 464	 990 	 940 
i 864	 508 	 516 
i 83	 217 	 227 
i 566	 235 	 283 
i 460	 681 	 685 
i 154	 888 	 888 
i 93	 448 	 428 
i 129	 409 	 334 
i 31	 983 	 1039 
i 634	 973 	 884 
i 623	 216 	 219 
i 71	 442 	 418 
i 191	 925 	 918 
i 331	 526 	 432 
i 972	 297 	 295 
i 847	 761 	 790 
i 227	 319 	 366 
i 563	 678 	 751 
i 544	 791 	 870 
i 515	 596 	 602 
i 633	 646 	 577 
i 7	 219 	 164 
i 922	 561 	 544 
i 390	 976 	 1025 
i 600	 116 	 159 
i 331	 554 	 567 
i 566	 239 	 297 
i 204	 896 	 867 
i 969	 779 	 859 
i 515	 689 	 672 
i 118	 273 	 182 
i 241	 411 	 322 
i 746	 612 	 707 
i 720	 983 	 956 
i 725	 758 	 851 
i 224	 509 	 468 
i 369	 124 	 196 
i 253	 830 	 743 
i 4	 257 	 164 
i 654	 169 	 179 
i 836	 538 	 571 
i 175	 582 	 663 
i 740	 631 	 662 
i 721	 611 	 586 
i 450	 937 	 857 
i 898	 907 	 872 
i 913	 282 	 320 
i 722	 161 	 250 
i 887	 220 	 310 
i 953	 252 	 273 
i 435	 742 	 730 
i 965	 448 	 471 
i 551	 368 	 339 
i 114	 951 	 866 
i 44	 397 	 402 
i 939	 487 	 472 
i 133	 777 	 744 
i 190	 506 	 418 
i 313	 458 	 547 
i 472	 415 	 495 
i 183	 953 	 920 
i 563	 457 	 417 
i 852	 117 	 187 
i 798	 434 	 527 
i 121	 504 	 405 
i 544	 973 	 1062 
i 294	 463 	 379 
i 738	 764 	 718 
i 130	 818 	 834 
i 472	 773 	 684 
i 420	 685 	 632 
i 810	 984 	 1044 
i 817	 362 	 392 
i 182	 230 	 220 
i 624	 199 	 213 
i 594	 207 	 130 
i 990	 161 	 143 
i 725	 232 	 161 
i 522	 473 	 428 
i 267	 991 	 1041 
i 912	 151 	 85 
i 894	 363 	 459 
i 178	 186 	 245 
i 312	 767 	 862 
i 412	 279 	 299 
i 520	 788 	 727 
i 576	 892 	 829 
i 713	 368 	 450 
i 121	 500 	 487 
i 112	 748 	 788 
i 157	 526 	 548 
i 440	 678 	 679 
i 525	 661 	 698 
i 263	 481 	 580 
i 453	 463 	 444 
i 216	 111 	 196 
i 95	 288 	 289 
i 384	 456 	 400 
i 822	 379 	 347 
i 539	 767 	 757 
i 7	 502 	 523 
i 645	 159 	 68 
i 264	 612 	 626 
i 681	 333 	 400 
i 79	 331 	 288 
i 80	 696 	 696 
i 279	 633 	 652 
i 667	 195 	 291 
i 969	 391 	 452 
i 708	 694 	 663 
i 149	 207 	 177 
i 204	 748 	 847 
i 767	 792 	 744 
i 18	 413 	 501 
i 267	 267 	 171 
i 924	 525 	 445 
i 513	 973 	 948 
i 608	 617 	 526 
i 922	 602 	 505 
i 579	 429 	 473 
i 687	 736 	 810 
i 405	 160 	 75 
i 171	 158 	 226 
i 511	 390 	 462 
i 687	 339 	 264 
i 153	 358 	 268 
i 124	 447 	 460 
i 692	 784 	 718 
i 246	 825 	 744 
i 604	 840 	 875 
i 309	 595 	 567 
i 365	 482 	 535 
i 418	 550 	 637 
i 733	 411 	 400 
i 990	 289 	 215 
i 269	 403 	 360 
i 647	 450 	 432 
i 405	 953 	 873 
i 209	 219 	 188 
i 29	 304 	 394 
i 574	 905 	 857 
i 991	 338 	 363 
i 485	 130 	 38 
i 823	 963 	 1018 
i 25	 473 	 526 
i 353	 593 	 500 
i 735	 849 	 885 
i 683	 325 	 242 
i 805	 417 	 376 
i 24	 727 	 692 
i 916	 686 	 765 
i 173	 918 	 995 
i 195	 586 	 561 
i 154	 625 	 564 
i 561	 427 	 371 
i 104	 220 	 235 
i 934	 252 	 214 
i 175	 859 	 958 
i 520	 937 	 997 
i 214	 311 	 375 
i 860	 600 	 648 
i 769	 510 	 592 
i 304	 412 	 333 
i 883	 746 	 698 
i 240	 923 	 987 
i 363	 232 	 317 
i 522	 745 	 817 
i 365	 133 	 40 
i 295	 128 	 139 
i 520	 840 	 893 
i 72	 684 	 709 
i 521	 453 	 432 
i 860	 376 	 416 
i 575	 472 	 489 
i 489	 705 	 769 
i 626	 547 	 484 
i 339	 483 	 524 
i 364	 359 	 273 
i 385	 391 	 364 
i 205	 885 	 962 
i 850	 680 	 771 
i 236	 351 	 347 
i 534	 705 	 673 
i 941	 440 	 523 
i 609	 960 	 940 
i 102	 804 	 710 
i 520	 971 	 944 
i 799	 713 	 759 
i 115	 779 	 702 
i 986	 218 	 182 
i 627	 119 	 53 
i 897	 972 	 953 
i 565	 510 	 598 
i 936	 813 	 889 
i 892	 739 	 737 
i 672	 209 	 227 
i 640	 236 	 158 
i 318	 565 	 647 
i 70	 328 	 233 
i 190	 433 	 336 
i 199	 720 	 748 
i 168	 874 	 881 
i 618	 348 	 269 
i 409	 297 	 205 
i 116	 194 	 280 
