c Instance Type o
c
n 150
c w	 v1	 v2
i 1096	 391 	 524 
i 918	 423 	 624 
i 902	 553 	 404 
i 1229	 655 	 411 
i 1194	 935 	 105 
i 1192	 985 	 66 
i 1106	 68 	 890 
i 984	 435 	 479 
i 883	 336 	 595 
i 1082	 912 	 28 
i 1182	 474 	 534 
i 1163	 428 	 665 
i 1189	 607 	 396 
i 1112	 971 	 22 
i 896	 879 	 42 
i 724	 766 	 152 
i 878	 619 	 312 
i 996	 492 	 526 
i 1129	 168 	 918 
i 1172	 548 	 520 
i 884	 405 	 558 
i 956	 342 	 707 
i 1056	 19 	 922 
i 1207	 985 	 37 
i 768	 785 	 154 
i 960	 225 	 868 
i 949	 242 	 775 
i 1085	 610 	 305 
i 1081	 57 	 881 
i 1140	 664 	 395 
i 748	 425 	 514 
i 1116	 728 	 280 
i 903	 997 	 57 
i 988	 786 	 223 
i 1025	 750 	 215 
i 1059	 823 	 188 
i 962	 991 	 87 
i 897	 322 	 659 
i 1007	 249 	 743 
i 859	 109 	 816 
i 1024	 813 	 197 
i 788	 836 	 120 
i 1011	 607 	 348 
i 788	 730 	 182 
i 1072	 179 	 884 
i 860	 830 	 198 
i 1178	 452 	 574 
i 1007	 662 	 429 
i 1086	 953 	 30 
i 1117	 492 	 469 
i 902	 828 	 96 
i 1184	 365 	 727 
i 818	 445 	 568 
i 788	 88 	 867 
i 1154	 278 	 716 
i 977	 801 	 159 
i 922	 883 	 168 
i 836	 766 	 217 
i 894	 59 	 900 
i 1133	 817 	 256 
i 1148	 707 	 331 
i 1006	 154 	 757 
i 922	 885 	 115 
i 1059	 898 	 119 
i 917	 981 	 103 
i 989	 883 	 150 
i 870	 428 	 582 
i 992	 606 	 357 
i 1154	 741 	 234 
i 1060	 80 	 854 
i 1084	 731 	 349 
i 938	 508 	 402 
i 918	 247 	 841 
i 1135	 554 	 514 
i 1079	 160 	 904 
i 923	 243 	 797 
i 1030	 634 	 291 
i 881	 786 	 261 
i 980	 360 	 635 
i 1075	 308 	 703 
i 983	 124 	 833 
i 1108	 635 	 424 
i 935	 207 	 701 
i 982	 283 	 736 
i 957	 950 	 114 
i 1074	 488 	 411 
i 856	 697 	 330 
i 1109	 461 	 523 
i 973	 547 	 509 
i 1050	 12 	 897 
i 800	 673 	 269 
i 1248	 240 	 830 
i 1107	 864 	 46 
i 1004	 432 	 535 
i 898	 842 	 115 
i 978	 75 	 961 
i 1151	 14 	 939 
i 1042	 87 	 988 
i 876	 898 	 98 
i 915	 193 	 805 
i 927	 48 	 876 
i 924	 194 	 787 
i 920	 142 	 812 
i 1144	 135 	 906 
i 828	 729 	 280 
i 1144	 83 	 930 
i 949	 440 	 587 
i 941	 436 	 608 
i 1115	 854 	 170 
i 917	 57 	 970 
i 1030	 350 	 722 
i 1032	 859 	 51 
i 770	 219 	 719 
i 1080	 636 	 329 
i 845	 394 	 517 
i 1111	 443 	 484 
i 1054	 272 	 744 
i 830	 578 	 324 
i 1250	 822 	 252 
i 1188	 551 	 535 
i 1002	 777 	 178 
i 996	 175 	 752 
i 1171	 981 	 42 
i 944	 64 	 999 
i 881	 852 	 124 
i 1028	 190 	 875 
i 1116	 150 	 769 
i 839	 747 	 288 
i 1137	 68 	 915 
i 1031	 11 	 894 
i 905	 767 	 299 
i 795	 386 	 514 
i 1097	 61 	 998 
i 975	 932 	 8 
i 1271	 137 	 943 
i 1040	 401 	 516 
i 1111	 809 	 138 
i 1134	 802 	 296 
i 747	 814 	 96 
i 771	 701 	 211 
i 1259	 518 	 549 
i 1137	 616 	 327 
i 1145	 854 	 102 
i 752	 450 	 492 
i 1120	 40 	 908 
i 797	 18 	 970 
i 919	 826 	 186 
i 875	 737 	 235 
i 862	 330 	 605 
i 1030	 424 	 652 
c
c
W 75154
c end of file
