c Instance Type c
c
n 800
c w	 v1	 v2
i 812	 328 	 330 
i 354	 527 	 429 
i 802	 968 	 980 
i 623	 135 	 69 
i 358	 524 	 431 
i 234	 866 	 880 
i 611	 897 	 863 
i 239	 267 	 295 
i 431	 769 	 831 
i 722	 284 	 368 
i 967	 535 	 581 
i 436	 992 	 909 
i 401	 112 	 189 
i 428	 613 	 615 
i 893	 767 	 841 
i 743	 801 	 721 
i 628	 421 	 463 
i 804	 718 	 808 
i 545	 402 	 379 
i 740	 233 	 154 
i 218	 163 	 78 
i 209	 814 	 816 
i 211	 890 	 972 
i 776	 791 	 759 
i 514	 358 	 304 
i 291	 243 	 338 
i 640	 335 	 355 
i 323	 970 	 951 
i 651	 929 	 1019 
i 789	 382 	 420 
i 847	 478 	 560 
i 638	 545 	 469 
i 516	 111 	 77 
i 282	 921 	 842 
i 560	 335 	 359 
i 708	 543 	 625 
i 960	 522 	 532 
i 927	 171 	 246 
i 848	 534 	 539 
i 155	 493 	 456 
i 568	 221 	 153 
i 57	 143 	 203 
i 57	 250 	 213 
i 968	 544 	 563 
i 221	 640 	 571 
i 706	 303 	 376 
i 170	 225 	 290 
i 238	 716 	 766 
i 714	 606 	 626 
i 145	 184 	 235 
i 270	 464 	 428 
i 306	 609 	 585 
i 462	 432 	 419 
i 950	 714 	 695 
i 546	 357 	 382 
i 762	 497 	 463 
i 891	 378 	 378 
i 573	 224 	 272 
i 130	 894 	 885 
i 213	 541 	 561 
i 611	 325 	 399 
i 172	 614 	 549 
i 534	 953 	 980 
i 213	 454 	 471 
i 490	 815 	 741 
i 924	 484 	 563 
i 226	 780 	 837 
i 354	 339 	 311 
i 235	 997 	 995 
i 720	 513 	 553 
i 961	 157 	 120 
i 528	 931 	 928 
i 476	 198 	 102 
i 861	 765 	 711 
i 654	 399 	 443 
i 75	 518 	 547 
i 827	 426 	 500 
i 85	 238 	 183 
i 82	 559 	 551 
i 534	 996 	 932 
i 587	 733 	 661 
i 510	 124 	 158 
i 608	 557 	 486 
i 345	 576 	 477 
i 670	 783 	 815 
i 129	 537 	 584 
i 484	 224 	 237 
i 627	 112 	 141 
i 132	 314 	 360 
i 128	 725 	 677 
i 828	 887 	 957 
i 843	 126 	 98 
i 347	 723 	 816 
i 869	 854 	 816 
i 626	 862 	 958 
i 106	 563 	 485 
i 233	 329 	 348 
i 234	 832 	 776 
i 463	 520 	 490 
i 154	 281 	 277 
i 27	 516 	 478 
i 44	 384 	 314 
i 732	 705 	 705 
i 568	 678 	 652 
i 413	 957 	 1056 
i 921	 943 	 863 
i 168	 154 	 120 
i 979	 684 	 697 
i 440	 883 	 789 
i 631	 309 	 246 
i 88	 739 	 681 
i 396	 126 	 77 
i 65	 263 	 360 
i 702	 708 	 719 
i 655	 149 	 242 
i 591	 146 	 224 
i 641	 236 	 147 
i 287	 534 	 441 
i 156	 151 	 146 
i 379	 179 	 100 
i 86	 344 	 283 
i 103	 533 	 551 
i 274	 760 	 791 
i 946	 749 	 720 
i 989	 355 	 257 
i 30	 327 	 348 
i 171	 229 	 178 
i 647	 281 	 287 
i 693	 314 	 351 
i 770	 738 	 651 
i 33	 835 	 765 
i 508	 121 	 71 
i 238	 647 	 652 
i 956	 341 	 336 
i 232	 660 	 652 
i 475	 672 	 670 
i 609	 322 	 354 
i 800	 540 	 502 
i 30	 125 	 26 
i 735	 736 	 791 
i 550	 795 	 856 
i 562	 930 	 893 
i 165	 268 	 278 
i 425	 738 	 740 
i 43	 271 	 319 
i 675	 684 	 627 
i 912	 235 	 300 
i 396	 826 	 851 
i 412	 214 	 245 
i 116	 219 	 197 
i 886	 908 	 996 
i 808	 737 	 737 
i 985	 129 	 162 
i 690	 621 	 539 
i 871	 187 	 114 
i 517	 847 	 909 
i 656	 151 	 195 
i 461	 885 	 808 
i 577	 553 	 559 
i 698	 247 	 276 
i 595	 594 	 600 
i 301	 542 	 510 
i 321	 989 	 954 
i 896	 694 	 597 
i 981	 776 	 853 
i 809	 897 	 878 
i 854	 728 	 640 
i 725	 482 	 486 
i 223	 588 	 507 
i 376	 172 	 231 
i 920	 747 	 725 
i 406	 333 	 371 
i 394	 637 	 539 
i 51	 928 	 1010 
i 799	 944 	 1022 
i 684	 845 	 885 
i 379	 316 	 327 
i 796	 371 	 327 
i 334	 835 	 835 
i 402	 923 	 999 
i 119	 743 	 803 
i 369	 204 	 145 
i 961	 820 	 840 
i 880	 833 	 863 
i 818	 754 	 744 
i 645	 658 	 585 
i 876	 392 	 394 
i 170	 887 	 849 
i 984	 248 	 276 
