c Instance Type o
c
n 150
c w	 v1	 v2
i 949	 141 	 783 
i 1053	 414 	 614 
i 927	 409 	 499 
i 837	 464 	 520 
i 1139	 250 	 827 
i 1042	 52 	 900 
i 729	 591 	 325 
i 943	 304 	 629 
i 1129	 897 	 58 
i 970	 88 	 959 
i 1058	 571 	 514 
i 798	 135 	 832 
i 898	 698 	 351 
i 961	 248 	 694 
i 966	 381 	 611 
i 1083	 38 	 932 
i 1069	 764 	 156 
i 798	 797 	 184 
i 890	 323 	 638 
i 822	 261 	 717 
i 908	 569 	 524 
i 861	 3 	 906 
i 897	 81 	 963 
i 847	 205 	 703 
i 1110	 752 	 233 
i 923	 188 	 804 
i 976	 972 	 29 
i 1043	 846 	 58 
i 832	 889 	 80 
i 1042	 213 	 808 
i 943	 324 	 611 
i 984	 363 	 572 
i 921	 745 	 206 
i 982	 878 	 115 
i 1103	 226 	 717 
i 903	 40 	 916 
i 1014	 369 	 606 
i 994	 806 	 138 
i 1113	 656 	 266 
i 999	 814 	 150 
i 1136	 370 	 659 
i 1082	 892 	 9 
i 937	 517 	 534 
i 1115	 941 	 101 
i 1233	 415 	 657 
i 1004	 316 	 764 
i 1028	 684 	 269 
i 1079	 283 	 631 
i 859	 908 	 140 
i 951	 886 	 123 
i 885	 476 	 607 
i 869	 246 	 815 
i 1075	 199 	 765 
i 918	 414 	 538 
i 945	 98 	 936 
i 872	 2 	 999 
i 1015	 312 	 724 
i 1008	 2 	 996 
i 979	 916 	 160 
i 1185	 946 	 117 
i 1035	 303 	 643 
i 1008	 310 	 685 
i 1178	 330 	 705 
i 767	 110 	 807 
i 1060	 525 	 412 
i 1059	 802 	 135 
i 1036	 982 	 59 
i 981	 432 	 568 
i 947	 958 	 59 
i 807	 218 	 755 
i 911	 25 	 958 
i 1217	 748 	 348 
i 953	 282 	 679 
i 1013	 141 	 842 
i 1194	 268 	 820 
i 1214	 76 	 955 
i 1030	 882 	 163 
i 1119	 372 	 559 
i 879	 824 	 98 
i 1070	 151 	 815 
i 943	 237 	 734 
i 884	 558 	 362 
i 1065	 361 	 616 
i 861	 842 	 163 
i 893	 419 	 640 
i 1206	 186 	 888 
i 1075	 146 	 905 
i 1013	 610 	 315 
i 1226	 580 	 510 
i 856	 973 	 13 
i 982	 734 	 233 
i 1137	 166 	 913 
i 766	 577 	 374 
i 946	 299 	 620 
i 950	 441 	 562 
i 937	 526 	 514 
i 871	 359 	 711 
i 855	 920 	 83 
i 741	 642 	 265 
i 778	 482 	 420 
i 1061	 659 	 390 
i 1053	 197 	 885 
i 1072	 843 	 154 
i 1173	 881 	 176 
i 869	 451 	 494 
i 857	 820 	 231 
i 1065	 65 	 853 
i 837	 68 	 837 
i 984	 200 	 835 
i 886	 286 	 645 
i 918	 476 	 587 
i 720	 8 	 892 
i 1088	 437 	 634 
i 980	 125 	 922 
i 975	 915 	 35 
i 829	 226 	 675 
i 889	 242 	 672 
i 916	 111 	 816 
i 828	 441 	 527 
i 949	 813 	 212 
i 772	 202 	 718 
i 779	 340 	 581 
i 810	 391 	 618 
i 1143	 934 	 112 
i 1190	 268 	 749 
i 1240	 832 	 230 
i 718	 155 	 755 
i 798	 593 	 339 
i 1005	 67 	 934 
i 839	 219 	 764 
i 922	 531 	 493 
i 1036	 662 	 430 
i 1134	 808 	 162 
i 991	 812 	 145 
i 880	 557 	 453 
i 1173	 491 	 486 
i 827	 438 	 570 
i 812	 460 	 466 
i 1069	 626 	 313 
i 883	 138 	 846 
i 1238	 278 	 812 
i 1155	 525 	 497 
i 859	 886 	 98 
i 937	 798 	 148 
i 872	 384 	 674 
i 926	 561 	 395 
i 1231	 553 	 491 
i 777	 602 	 333 
i 985	 819 	 242 
i 1182	 645 	 444 
c
c
W 73113
c end of file
