c Instance Type c
c
n 700
c w	 v1	 v2
i 266	 224 	 215 
i 786	 532 	 508 
i 414	 342 	 320 
i 127	 551 	 479 
i 226	 246 	 278 
i 878	 293 	 242 
i 950	 834 	 751 
i 275	 623 	 642 
i 605	 611 	 696 
i 655	 503 	 542 
i 783	 392 	 484 
i 258	 799 	 849 
i 519	 252 	 184 
i 14	 603 	 561 
i 167	 728 	 731 
i 372	 429 	 407 
i 187	 651 	 619 
i 763	 727 	 750 
i 327	 370 	 314 
i 768	 304 	 379 
i 85	 925 	 957 
i 859	 894 	 978 
i 19	 672 	 659 
i 573	 819 	 809 
i 267	 188 	 211 
i 626	 647 	 745 
i 234	 998 	 933 
i 926	 415 	 503 
i 218	 966 	 919 
i 436	 276 	 183 
i 353	 169 	 93 
i 234	 759 	 855 
i 865	 688 	 787 
i 662	 190 	 204 
i 749	 593 	 660 
i 353	 254 	 247 
i 351	 247 	 286 
i 694	 406 	 431 
i 656	 354 	 422 
i 843	 592 	 547 
i 909	 625 	 651 
i 638	 733 	 806 
i 288	 716 	 762 
i 377	 716 	 694 
i 919	 336 	 264 
i 82	 194 	 193 
i 235	 608 	 677 
i 567	 340 	 348 
i 840	 897 	 836 
i 383	 758 	 666 
i 961	 117 	 207 
i 662	 679 	 696 
i 343	 560 	 635 
i 25	 321 	 271 
i 279	 671 	 605 
i 372	 799 	 749 
i 931	 351 	 348 
i 191	 214 	 125 
i 75	 696 	 775 
i 802	 871 	 826 
i 810	 908 	 855 
i 450	 863 	 943 
i 955	 497 	 445 
i 192	 387 	 340 
i 823	 612 	 621 
i 597	 765 	 848 
i 867	 991 	 1061 
i 983	 536 	 444 
i 642	 585 	 508 
i 498	 492 	 575 
i 394	 740 	 785 
i 241	 952 	 887 
i 676	 865 	 791 
i 986	 193 	 158 
i 551	 432 	 361 
i 288	 919 	 967 
i 278	 848 	 870 
i 756	 716 	 735 
i 291	 753 	 700 
i 720	 856 	 903 
i 428	 784 	 709 
i 375	 543 	 517 
i 223	 701 	 610 
i 316	 819 	 725 
i 678	 219 	 235 
i 587	 351 	 425 
i 417	 124 	 53 
i 98	 668 	 749 
i 820	 309 	 248 
i 659	 520 	 603 
i 417	 285 	 253 
i 902	 400 	 443 
i 567	 730 	 818 
i 364	 771 	 722 
i 486	 801 	 888 
i 756	 431 	 435 
i 771	 317 	 404 
i 399	 449 	 356 
i 621	 366 	 437 
i 82	 540 	 543 
i 279	 466 	 552 
i 604	 772 	 839 
i 301	 521 	 501 
i 45	 470 	 523 
i 820	 698 	 648 
