c Instance Type c
c
n 700
c w	 v1	 v2
i 965	 468 	 419 
i 153	 849 	 796 
i 888	 858 	 800 
i 878	 521 	 617 
i 743	 841 	 822 
i 114	 742 	 693 
i 332	 765 	 715 
i 760	 575 	 574 
i 968	 503 	 546 
i 478	 117 	 74 
i 880	 214 	 164 
i 711	 444 	 425 
i 551	 658 	 616 
i 13	 846 	 780 
i 835	 829 	 912 
i 545	 303 	 208 
i 282	 531 	 503 
i 804	 757 	 681 
i 246	 311 	 228 
i 253	 948 	 961 
i 369	 314 	 303 
i 745	 538 	 469 
i 360	 899 	 940 
i 187	 271 	 315 
i 995	 424 	 435 
i 212	 349 	 269 
i 685	 375 	 351 
i 413	 696 	 633 
i 637	 804 	 790 
i 580	 884 	 921 
i 809	 499 	 410 
i 291	 898 	 958 
i 177	 150 	 82 
i 357	 780 	 749 
i 709	 534 	 502 
i 977	 140 	 151 
i 275	 231 	 179 
i 933	 574 	 604 
i 714	 742 	 700 
i 584	 239 	 313 
i 22	 850 	 886 
i 907	 901 	 995 
i 950	 724 	 653 
i 704	 868 	 869 
i 181	 289 	 232 
i 214	 596 	 534 
i 350	 202 	 195 
i 870	 417 	 397 
i 581	 999 	 922 
i 725	 369 	 409 
i 558	 256 	 300 
i 446	 861 	 886 
i 137	 836 	 851 
i 988	 968 	 924 
i 190	 529 	 521 
i 735	 721 	 756 
i 837	 893 	 798 
i 182	 420 	 499 
i 182	 778 	 773 
i 473	 882 	 822 
i 636	 615 	 667 
i 481	 368 	 309 
i 297	 927 	 895 
i 262	 554 	 520 
i 732	 807 	 811 
i 419	 331 	 282 
i 300	 933 	 852 
i 648	 958 	 913 
i 399	 867 	 858 
i 267	 404 	 490 
i 834	 585 	 598 
i 125	 373 	 282 
i 44	 558 	 526 
i 542	 865 	 886 
i 325	 272 	 239 
i 573	 737 	 788 
i 498	 966 	 877 
i 451	 162 	 203 
i 302	 409 	 330 
i 632	 816 	 790 
i 166	 755 	 696 
i 462	 371 	 336 
i 965	 414 	 388 
i 814	 720 	 803 
i 995	 370 	 318 
i 700	 672 	 734 
i 663	 457 	 419 
i 721	 508 	 560 
i 57	 247 	 159 
i 850	 341 	 380 
i 576	 671 	 743 
i 868	 854 	 818 
i 210	 258 	 215 
i 895	 590 	 510 
i 188	 514 	 433 
i 818	 728 	 787 
i 209	 562 	 554 
i 656	 839 	 775 
i 809	 627 	 574 
i 69	 685 	 602 
i 699	 414 	 447 
i 535	 292 	 298 
i 701	 580 	 628 
i 240	 837 	 864 
i 694	 928 	 993 
i 389	 127 	 156 
i 897	 838 	 908 
i 716	 360 	 362 
i 298	 523 	 486 
i 943	 736 	 713 
i 285	 815 	 732 
i 489	 518 	 542 
i 17	 993 	 957 
i 833	 765 	 777 
i 753	 445 	 396 
i 772	 291 	 320 
i 589	 865 	 873 
i 869	 735 	 686 
i 334	 299 	 310 
i 37	 584 	 584 
i 829	 929 	 986 
i 288	 117 	 71 
i 281	 670 	 628 
i 18	 957 	 882 
i 393	 568 	 643 
i 596	 796 	 826 
i 444	 481 	 428 
i 147	 964 	 885 
i 359	 306 	 294 
i 891	 801 	 796 
i 812	 356 	 317 
i 820	 165 	 184 
i 450	 409 	 484 
i 402	 668 	 747 
i 916	 779 	 736 
i 688	 671 	 747 
i 106	 360 	 325 
i 66	 574 	 568 
i 285	 671 	 737 
i 62	 176 	 221 
i 338	 602 	 609 
i 399	 878 	 849 
i 735	 520 	 581 
i 363	 412 	 353 
i 115	 319 	 244 
i 745	 576 	 638 
i 27	 473 	 556 
i 548	 764 	 860 
i 178	 298 	 251 
i 252	 150 	 116 
i 805	 794 	 827 
i 668	 383 	 296 
i 129	 701 	 761 
i 468	 529 	 462 
i 702	 715 	 671 
i 225	 826 	 731 
i 632	 660 	 570 
i 368	 588 	 608 
i 578	 573 	 628 
i 622	 813 	 719 
i 392	 218 	 285 
i 698	 812 	 812 
i 362	 872 	 898 
i 833	 697 	 616 
i 513	 844 	 904 
i 318	 205 	 110 
i 935	 228 	 259 
i 472	 275 	 180 
i 992	 809 	 830 
i 783	 612 	 557 
i 903	 639 	 663 
i 693	 493 	 456 
i 550	 940 	 976 
i 210	 613 	 615 
i 36	 702 	 607 
i 142	 526 	 494 
i 274	 549 	 504 
i 459	 246 	 296 
i 244	 271 	 319 
i 808	 809 	 814 
i 403	 123 	 109 
i 833	 674 	 598 
i 767	 957 	 991 
i 333	 673 	 749 
i 997	 241 	 324 
i 465	 265 	 177 
i 958	 571 	 537 
i 111	 819 	 877 
i 291	 598 	 505 
i 77	 370 	 438 
i 91	 838 	 787 
i 724	 332 	 248 
i 677	 441 	 510 
i 310	 151 	 87 
i 457	 936 	 871 
i 631	 864 	 892 
i 149	 917 	 937 
i 945	 325 	 367 
i 493	 140 	 40 
i 784	 173 	 88 
i 603	 924 	 858 
i 852	 255 	 333 
i 224	 327 	 341 
i 270	 192 	 268 
i 198	 352 	 319 
i 46	 511 	 604 
i 952	 193 	 116 
i 194	 727 	 639 
i 227	 471 	 482 
i 297	 474 	 442 
i 212	 545 	 633 
i 374	 697 	 756 
i 617	 603 	 506 
i 709	 222 	 179 
i 981	 117 	 114 
i 431	 419 	 425 
i 524	 392 	 388 
i 218	 497 	 532 
i 623	 553 	 634 
i 33	 158 	 98 
i 522	 461 	 443 
i 181	 411 	 468 
i 735	 229 	 210 
i 861	 246 	 168 
i 868	 503 	 422 
i 215	 936 	 941 
i 531	 520 	 430 
i 965	 951 	 904 
i 463	 665 	 743 
i 516	 581 	 665 
i 910	 761 	 750 
i 248	 239 	 264 
i 381	 939 	 911 
i 534	 411 	 355 
i 975	 512 	 430 
i 904	 597 	 558 
i 365	 176 	 243 
i 310	 221 	 281 
i 933	 459 	 412 
i 463	 363 	 419 
i 194	 296 	 334 
i 339	 692 	 780 
i 271	 360 	 324 
i 608	 682 	 753 
i 61	 880 	 946 
i 607	 962 	 1009 
i 681	 346 	 266 
i 805	 203 	 185 
i 198	 918 	 886 
i 481	 266 	 327 
i 689	 963 	 1062 
i 344	 691 	 658 
i 624	 639 	 660 
i 268	 925 	 868 
i 134	 797 	 752 
i 92	 647 	 724 
i 357	 412 	 425 
i 460	 501 	 475 
i 368	 866 	 879 
i 543	 282 	 192 
i 502	 999 	 1047 
i 155	 999 	 915 
i 748	 411 	 452 
i 665	 953 	 1048 
i 437	 258 	 179 
i 42	 505 	 445 
i 381	 404 	 415 
i 820	 908 	 811 
i 670	 350 	 327 
i 863	 856 	 941 
i 862	 902 	 888 
i 862	 671 	 688 
i 200	 745 	 711 
i 148	 486 	 585 
i 313	 464 	 451 
i 757	 561 	 556 
i 88	 740 	 811 
i 984	 347 	 382 
i 254	 362 	 331 
i 94	 706 	 648 
i 983	 643 	 557 
i 613	 138 	 225 
i 327	 659 	 586 
i 749	 956 	 912 
i 148	 956 	 975 
i 654	 455 	 425 
i 363	 880 	 868 
i 628	 755 	 740 
i 911	 469 	 504 
i 581	 779 	 833 
i 180	 968 	 1019 
i 211	 145 	 118 
i 827	 977 	 1016 
i 778	 209 	 197 
i 729	 461 	 479 
i 117	 992 	 941 
i 982	 417 	 438 
i 707	 809 	 756 
i 112	 299 	 228 
i 863	 903 	 948 
i 828	 700 	 781 
i 866	 483 	 407 
i 841	 811 	 900 
i 952	 540 	 585 
i 347	 936 	 926 
i 339	 573 	 587 
i 683	 792 	 802 
i 470	 445 	 397 
i 681	 655 	 629 
i 572	 787 	 734 
i 236	 547 	 459 
i 654	 466 	 552 
i 442	 573 	 627 
i 925	 526 	 570 
i 853	 282 	 196 
i 374	 686 	 668 
i 141	 305 	 223 
i 517	 798 	 810 
i 130	 141 	 89 
i 890	 473 	 536 
i 381	 683 	 593 
i 781	 741 	 782 
i 302	 680 	 609 
i 768	 478 	 392 
i 961	 233 	 318 
i 609	 297 	 257 
i 828	 661 	 649 
i 601	 745 	 836 
i 636	 357 	 274 
i 44	 574 	 669 
i 687	 411 	 383 
i 397	 458 	 386 
i 38	 198 	 186 
i 450	 330 	 272 
i 588	 396 	 330 
i 797	 332 	 388 
i 417	 600 	 622 
i 131	 993 	 935 
i 407	 956 	 1025 
i 928	 146 	 224 
i 267	 128 	 143 
i 658	 448 	 542 
i 756	 574 	 476 
i 4	 969 	 961 
i 324	 268 	 178 
i 573	 422 	 491 
i 124	 229 	 182 
i 116	 772 	 751 
i 68	 960 	 1020 
i 108	 824 	 870 
i 127	 726 	 825 
i 506	 351 	 382 
i 29	 329 	 311 
i 993	 340 	 323 
i 171	 751 	 799 
i 521	 796 	 758 
i 654	 662 	 649 
i 398	 898 	 908 
i 353	 361 	 385 
i 156	 187 	 232 
i 848	 838 	 908 
i 119	 838 	 810 
i 364	 533 	 510 
i 622	 901 	 877 
i 343	 383 	 393 
i 114	 153 	 67 
i 733	 432 	 477 
i 619	 822 	 747 
i 901	 425 	 420 
i 987	 977 	 1003 
i 805	 735 	 731 
i 623	 606 	 626 
i 99	 928 	 1021 
i 988	 385 	 402 
i 295	 725 	 810 
i 343	 328 	 236 
i 705	 394 	 449 
i 505	 152 	 131 
i 858	 265 	 224 
i 833	 691 	 648 
i 536	 366 	 284 
i 94	 795 	 837 
i 14	 441 	 503 
i 322	 410 	 470 
i 14	 931 	 850 
i 258	 869 	 856 
i 576	 907 	 835 
i 623	 709 	 738 
i 797	 172 	 173 
i 450	 437 	 405 
i 737	 690 	 765 
i 508	 771 	 865 
i 879	 516 	 612 
i 216	 350 	 311 
i 139	 173 	 136 
i 991	 258 	 273 
i 887	 649 	 579 
i 561	 777 	 832 
i 630	 465 	 479 
i 997	 917 	 821 
i 650	 331 	 383 
i 393	 221 	 174 
i 849	 195 	 124 
i 119	 181 	 153 
i 189	 453 	 453 
i 355	 736 	 734 
i 960	 360 	 336 
i 710	 496 	 584 
i 109	 297 	 311 
i 16	 806 	 819 
i 263	 827 	 770 
i 388	 614 	 636 
i 483	 853 	 845 
i 562	 984 	 999 
i 946	 417 	 470 
i 650	 863 	 787 
i 930	 413 	 329 
i 364	 751 	 809 
i 573	 699 	 779 
i 356	 319 	 402 
i 162	 825 	 760 
i 728	 131 	 144 
i 564	 675 	 584 
i 546	 195 	 217 
i 891	 710 	 721 
i 738	 503 	 444 
i 79	 612 	 539 
i 799	 685 	 685 
i 462	 500 	 414 
i 696	 412 	 398 
i 500	 337 	 355 
i 522	 497 	 461 
i 157	 111 	 187 
i 253	 155 	 141 
i 927	 698 	 662 
i 369	 305 	 217 
i 933	 489 	 416 
i 580	 612 	 699 
i 18	 169 	 148 
i 357	 236 	 155 
i 612	 619 	 638 
i 47	 257 	 180 
i 47	 542 	 496 
i 97	 440 	 445 
i 758	 823 	 813 
i 976	 221 	 285 
i 403	 275 	 326 
i 966	 398 	 365 
i 33	 344 	 314 
