c Instance Type k
c
n 300
c w	 v1	 v2
i 857	 321 	 694 
i 834	 125 	 964 
i 646	 282 	 703 
i 961	 825 	 215 
i 266	 57 	 912 
i 817	 634 	 267 
i 634	 683 	 264 
i 54	 16 	 902 
i 591	 737 	 280 
i 328	 812 	 167 
i 399	 669 	 375 
i 979	 504 	 565 
i 926	 150 	 775 
i 357	 111 	 979 
i 64	 376 	 525 
i 508	 194 	 834 
i 520	 827 	 137 
i 764	 881 	 87 
i 927	 473 	 442 
i 515	 800 	 278 
i 917	 200 	 812 
i 640	 179 	 733 
i 489	 106 	 836 
i 619	 463 	 501 
i 573	 526 	 514 
i 584	 34 	 986 
i 230	 554 	 490 
i 558	 318 	 702 
i 901	 246 	 668 
i 982	 760 	 315 
i 875	 677 	 237 
i 438	 318 	 632 
i 505	 807 	 165 
i 721	 426 	 639 
i 49	 999 	 35 
i 752	 584 	 392 
i 649	 813 	 274 
i 374	 371 	 579 
i 980	 272 	 728 
i 60	 254 	 698 
i 939	 130 	 958 
i 19	 568 	 383 
i 277	 73 	 837 
i 640	 793 	 205 
i 467	 842 	 155 
i 818	 594 	 320 
i 205	 243 	 834 
i 145	 617 	 334 
i 404	 598 	 407 
i 907	 658 	 398 
i 172	 597 	 485 
i 114	 616 	 380 
i 374	 893 	 117 
i 441	 534 	 435 
i 933	 1 	 917 
i 425	 819 	 237 
i 501	 24 	 878 
i 390	 169 	 859 
i 649	 572 	 376 
i 181	 480 	 600 
i 966	 651 	 348 
i 881	 765 	 157 
i 365	 139 	 761 
i 920	 579 	 428 
i 270	 513 	 495 
i 461	 937 	 58 
i 247	 438 	 538 
i 276	 828 	 182 
i 921	 477 	 447 
i 166	 658 	 362 
i 68	 624 	 326 
i 566	 506 	 397 
i 681	 870 	 61 
i 690	 791 	 257 
i 233	 61 	 879 
i 775	 522 	 415 
i 137	 769 	 256 
i 522	 45 	 920 
i 77	 966 	 125 
i 204	 132 	 886 
i 810	 199 	 743 
i 69	 765 	 279 
i 93	 447 	 571 
i 255	 137 	 839 
i 996	 369 	 619 
i 251	 144 	 949 
i 443	 281 	 766 
i 74	 802 	 254 
i 532	 879 	 170 
i 467	 84 	 978 
i 61	 893 	 22 
i 279	 962 	 116 
i 3	 56 	 888 
i 596	 311 	 674 
i 982	 307 	 752 
i 429	 558 	 530 
i 398	 2 	 919 
i 136	 75 	 828 
i 919	 607 	 473 
i 668	 75 	 997 
i 550	 136 	 940 
i 630	 414 	 654 
i 476	 416 	 663 
i 768	 13 	 910 
i 197	 994 	 54 
i 995	 423 	 491 
i 937	 821 	 93 
i 160	 957 	 21 
i 185	 876 	 175 
i 90	 545 	 521 
i 78	 95 	 993 
i 959	 725 	 250 
i 804	 201 	 858 
i 704	 968 	 106 
i 914	 166 	 894 
i 433	 161 	 783 
i 509	 98 	 810 
i 587	 258 	 642 
i 739	 443 	 633 
i 499	 532 	 452 
i 333	 610 	 393 
i 302	 570 	 378 
i 684	 374 	 614 
i 483	 79 	 894 
i 294	 993 	 62 
i 99	 426 	 622 
i 326	 935 	 138 
i 375	 522 	 396 
i 382	 261 	 746 
i 265	 759 	 154 
i 692	 93 	 938 
i 214	 395 	 554 
i 461	 79 	 932 
i 908	 562 	 478 
i 324	 855 	 184 
i 906	 953 	 18 
i 648	 280 	 631 
i 489	 655 	 360 
i 587	 37 	 978 
i 128	 302 	 718 
i 201	 993 	 74 
i 883	 207 	 709 
i 137	 667 	 265 
i 764	 575 	 470 
i 470	 899 	 117 
i 170	 805 	 202 
i 295	 454 	 609 
i 356	 943 	 74 
i 937	 530 	 471 
i 780	 657 	 405 
i 382	 857 	 203 
i 77	 741 	 160 
i 166	 878 	 157 
i 335	 642 	 308 
i 65	 113 	 817 
i 650	 283 	 809 
i 190	 577 	 405 
i 9	 932 	 60 
i 483	 870 	 207 
i 994	 650 	 358 
i 807	 33 	 919 
i 613	 110 	 817 
i 625	 276 	 627 
i 306	 610 	 422 
i 561	 674 	 381 
i 716	 325 	 585 
i 676	 514 	 513 
i 92	 523 	 490 
i 449	 6 	 940 
i 337	 1 	 907 
i 881	 807 	 116 
i 284	 420 	 525 
i 428	 46 	 927 
i 449	 351 	 571 
i 114	 911 	 149 
i 890	 628 	 294 
i 949	 304 	 721 
i 586	 396 	 533 
i 157	 844 	 86 
i 596	 182 	 748 
i 686	 63 	 994 
i 808	 347 	 629 
i 41	 774 	 211 
i 547	 224 	 832 
i 663	 337 	 701 
i 455	 228 	 735 
i 570	 177 	 847 
i 200	 763 	 140 
i 352	 919 	 156 
i 510	 516 	 392 
i 668	 202 	 718 
i 633	 11 	 939 
i 19	 51 	 883 
i 449	 598 	 392 
i 230	 261 	 797 
i 923	 715 	 187 
i 244	 286 	 652 
i 868	 485 	 606 
i 889	 836 	 239 
i 754	 347 	 631 
i 800	 15 	 953 
i 908	 648 	 372 
i 365	 666 	 365 
i 595	 116 	 834 
i 50	 346 	 656 
i 840	 269 	 676 
i 858	 512 	 491 
i 54	 381 	 518 
i 13	 270 	 797 
i 890	 24 	 898 
i 285	 823 	 116 
i 881	 732 	 337 
i 488	 98 	 903 
i 146	 692 	 333 
i 400	 741 	 354 
i 916	 582 	 366 
i 149	 441 	 610 
i 666	 495 	 431 
i 669	 507 	 473 
i 508	 398 	 587 
i 694	 682 	 268 
i 895	 563 	 534 
i 743	 52 	 860 
i 259	 197 	 858 
i 888	 597 	 406 
i 863	 513 	 406 
i 108	 662 	 345 
i 864	 328 	 578 
i 2	 997 	 55 
i 409	 505 	 583 
i 840	 200 	 824 
i 96	 95 	 840 
i 84	 838 	 108 
i 169	 97 	 888 
i 946	 984 	 3 
i 466	 848 	 160 
i 567	 955 	 29 
i 109	 819 	 187 
i 146	 821 	 184 
i 689	 230 	 676 
i 630	 71 	 868 
i 254	 166 	 799 
i 441	 250 	 683 
i 679	 418 	 534 
i 114	 365 	 584 
i 145	 830 	 88 
i 689	 397 	 512 
i 895	 506 	 568 
i 431	 652 	 386 
i 962	 341 	 743 
i 999	 970 	 129 
i 236	 225 	 706 
i 567	 666 	 315 
i 736	 345 	 720 
i 3	 459 	 478 
i 253	 603 	 300 
i 351	 293 	 690 
i 405	 189 	 896 
i 279	 619 	 396 
i 974	 582 	 501 
i 899	 581 	 496 
i 894	 817 	 105 
i 57	 385 	 670 
i 467	 122 	 802 
i 296	 124 	 892 
i 489	 377 	 559 
i 513	 727 	 268 
i 933	 133 	 900 
i 860	 412 	 545 
i 440	 386 	 687 
i 359	 285 	 704 
i 250	 180 	 773 
i 365	 237 	 793 
i 146	 703 	 352 
i 272	 999 	 90 
i 856	 489 	 465 
i 45	 2 	 897 
i 525	 935 	 22 
i 195	 796 	 213 
i 483	 236 	 850 
i 354	 595 	 348 
i 806	 844 	 135 
i 76	 210 	 816 
i 730	 355 	 612 
i 507	 627 	 340 
i 407	 483 	 582 
i 684	 528 	 537 
i 688	 53 	 963 
i 825	 247 	 764 
i 374	 730 	 329 
i 309	 85 	 886 
i 529	 890 	 56 
i 929	 965 	 60 
i 565	 696 	 364 
i 905	 203 	 782 
i 245	 609 	 473 
i 74	 294 	 693 
i 903	 981 	 58 
i 669	 807 	 240 
i 232	 182 	 811 
c
c
W 75365
c end of file
