c Instance Type c
c
n 1000
c w	 v1	 v2
i 967	 305 	 290 
i 438	 915 	 918 
i 290	 425 	 378 
i 444	 311 	 216 
i 791	 268 	 281 
i 260	 610 	 510 
i 985	 927 	 1006 
i 514	 622 	 612 
i 796	 462 	 547 
i 141	 365 	 283 
i 359	 767 	 678 
i 264	 257 	 256 
i 617	 716 	 773 
i 842	 954 	 900 
i 21	 981 	 885 
i 582	 596 	 552 
i 500	 596 	 549 
i 76	 507 	 563 
i 471	 909 	 924 
i 757	 844 	 887 
i 495	 926 	 841 
i 660	 979 	 947 
i 341	 532 	 623 
i 291	 342 	 402 
i 270	 548 	 612 
i 815	 568 	 548 
i 362	 819 	 899 
i 807	 168 	 263 
i 705	 863 	 852 
i 530	 488 	 428 
i 447	 237 	 276 
i 424	 306 	 277 
i 897	 608 	 648 
i 159	 570 	 668 
i 650	 393 	 345 
i 165	 233 	 148 
i 962	 590 	 577 
i 27	 503 	 451 
i 873	 483 	 572 
i 298	 881 	 877 
i 440	 174 	 259 
i 659	 796 	 766 
i 220	 226 	 175 
i 736	 849 	 830 
i 54	 841 	 752 
i 191	 184 	 128 
i 730	 251 	 188 
i 172	 640 	 582 
i 590	 858 	 775 
i 457	 813 	 789 
i 528	 351 	 415 
i 299	 286 	 282 
i 428	 599 	 639 
i 259	 820 	 807 
i 81	 293 	 291 
i 163	 345 	 381 
i 321	 543 	 525 
i 916	 707 	 724 
i 757	 895 	 830 
i 547	 971 	 997 
i 817	 422 	 354 
i 15	 265 	 256 
i 564	 694 	 771 
i 362	 428 	 357 
i 567	 818 	 763 
i 830	 366 	 343 
i 316	 973 	 1014 
i 987	 452 	 477 
i 870	 972 	 948 
i 838	 240 	 325 
i 189	 802 	 851 
i 363	 945 	 997 
i 19	 464 	 428 
i 376	 363 	 400 
i 172	 493 	 443 
i 459	 695 	 611 
i 430	 151 	 130 
i 813	 782 	 759 
i 783	 449 	 400 
i 928	 790 	 709 
i 706	 727 	 683 
i 645	 502 	 531 
i 43	 290 	 323 
i 327	 579 	 487 
i 757	 300 	 242 
i 414	 525 	 559 
i 460	 600 	 520 
i 216	 955 	 1038 
i 596	 411 	 450 
i 361	 640 	 665 
i 55	 725 	 691 
i 494	 978 	 1073 
i 696	 664 	 568 
i 223	 367 	 336 
i 436	 404 	 325 
i 902	 593 	 596 
i 453	 301 	 396 
i 403	 392 	 331 
i 741	 317 	 375 
i 336	 938 	 868 
i 28	 607 	 548 
i 4	 905 	 945 
i 626	 886 	 865 
i 914	 905 	 928 
i 244	 326 	 237 
i 786	 420 	 511 
i 2	 882 	 864 
i 318	 864 	 926 
i 550	 149 	 159 
i 482	 852 	 930 
i 41	 988 	 1071 
i 934	 282 	 366 
i 806	 905 	 914 
i 700	 369 	 361 
i 943	 920 	 961 
i 291	 969 	 967 
i 159	 931 	 929 
i 7	 407 	 469 
i 49	 242 	 214 
i 883	 735 	 803 
i 870	 638 	 714 
i 64	 566 	 629 
i 957	 496 	 520 
i 248	 982 	 947 
i 158	 504 	 457 
i 124	 242 	 253 
i 47	 679 	 722 
i 380	 229 	 273 
i 528	 950 	 1004 
i 231	 383 	 414 
i 825	 244 	 249 
i 337	 141 	 159 
i 770	 869 	 878 
i 751	 535 	 594 
i 194	 825 	 915 
i 341	 175 	 90 
i 980	 672 	 596 
i 114	 421 	 421 
i 59	 176 	 82 
i 365	 864 	 816 
i 516	 559 	 476 
i 550	 139 	 123 
i 403	 664 	 602 
i 881	 262 	 351 
i 685	 969 	 896 
i 757	 928 	 924 
i 389	 997 	 989 
i 738	 217 	 232 
i 812	 665 	 691 
i 660	 693 	 792 
i 165	 926 	 928 
i 196	 115 	 28 
i 818	 492 	 485 
i 988	 665 	 634 
i 954	 617 	 523 
i 874	 741 	 799 
i 870	 279 	 215 
i 990	 689 	 772 
i 614	 312 	 358 
i 269	 875 	 853 
i 187	 875 	 886 
i 192	 443 	 493 
i 620	 501 	 515 
