c Instance Type k
c
n 300
c w	 v1	 v2
i 437	 352 	 616 
i 26	 371 	 614 
i 479	 317 	 746 
i 870	 361 	 665 
i 630	 252 	 719 
i 184	 51 	 883 
i 538	 555 	 353 
i 361	 184 	 864 
i 634	 137 	 909 
i 64	 553 	 423 
i 626	 990 	 81 
i 970	 16 	 895 
i 401	 494 	 490 
i 221	 364 	 693 
i 857	 994 	 4 
i 219	 179 	 737 
i 452	 716 	 312 
i 497	 77 	 969 
i 239	 710 	 383 
i 974	 773 	 230 
i 360	 400 	 601 
i 98	 371 	 633 
i 207	 771 	 131 
i 632	 992 	 41 
i 419	 850 	 124 
i 456	 69 	 924 
i 545	 521 	 432 
i 189	 18 	 922 
i 17	 256 	 654 
i 982	 231 	 835 
i 501	 590 	 355 
i 10	 688 	 332 
i 534	 895 	 79 
i 552	 527 	 445 
i 934	 945 	 33 
i 312	 402 	 554 
i 867	 946 	 124 
i 139	 136 	 928 
i 487	 152 	 763 
i 545	 135 	 826 
i 377	 635 	 445 
i 610	 644 	 373 
i 213	 178 	 818 
i 588	 729 	 172 
i 955	 664 	 427 
i 173	 976 	 44 
i 460	 843 	 117 
i 267	 982 	 51 
i 92	 470 	 548 
i 172	 15 	 968 
i 483	 392 	 579 
i 384	 2 	 897 
i 974	 215 	 720 
i 459	 803 	 279 
i 471	 758 	 257 
i 428	 931 	 93 
i 786	 391 	 587 
i 92	 658 	 317 
i 532	 749 	 320 
i 125	 921 	 154 
i 851	 405 	 545 
i 214	 789 	 161 
i 219	 763 	 231 
i 403	 223 	 731 
i 316	 693 	 212 
i 893	 121 	 972 
i 446	 907 	 68 
i 843	 999 	 1 
i 223	 532 	 520 
i 72	 657 	 379 
i 935	 509 	 408 
i 192	 722 	 353 
i 450	 941 	 102 
i 923	 344 	 728 
i 199	 660 	 351 
i 233	 553 	 482 
i 199	 999 	 59 
i 555	 842 	 174 
i 570	 66 	 852 
i 334	 138 	 916 
i 21	 74 	 874 
i 111	 265 	 635 
i 991	 715 	 374 
i 634	 639 	 318 
i 500	 837 	 253 
i 59	 71 	 914 
i 738	 270 	 730 
i 326	 825 	 143 
i 913	 395 	 586 
i 32	 729 	 280 
i 808	 749 	 275 
i 93	 860 	 217 
i 100	 851 	 169 
i 49	 486 	 461 
i 341	 985 	 9 
i 294	 45 	 875 
i 799	 783 	 200 
i 303	 109 	 839 
i 650	 22 	 955 
i 62	 54 	 902 
i 611	 862 	 60 
i 233	 954 	 142 
i 121	 55 	 973 
i 723	 104 	 858 
i 964	 444 	 515 
i 44	 738 	 230 
i 194	 537 	 387 
i 614	 840 	 106 
i 858	 490 	 461 
i 498	 552 	 409 
i 866	 163 	 771 
i 984	 396 	 529 
i 962	 516 	 420 
i 791	 239 	 717 
i 107	 203 	 843 
i 408	 247 	 746 
i 753	 441 	 459 
i 882	 55 	 976 
i 120	 912 	 63 
i 379	 411 	 666 
i 692	 277 	 632 
i 866	 261 	 727 
i 996	 223 	 869 
i 181	 15 	 907 
i 468	 122 	 858 
i 201	 530 	 499 
i 670	 284 	 633 
i 676	 166 	 762 
i 523	 285 	 625 
i 859	 664 	 329 
i 748	 356 	 692 
i 798	 223 	 677 
i 245	 219 	 726 
i 207	 400 	 548 
i 407	 868 	 104 
i 810	 69 	 982 
i 461	 738 	 197 
i 552	 415 	 553 
i 698	 938 	 102 
i 756	 798 	 160 
i 225	 546 	 483 
i 970	 344 	 730 
i 977	 589 	 328 
i 207	 795 	 202 
i 452	 202 	 769 
i 818	 13 	 934 
i 715	 473 	 459 
i 895	 26 	 946 
i 243	 723 	 280 
i 873	 479 	 483 
i 170	 704 	 368 
i 820	 675 	 265 
i 694	 652 	 406 
i 786	 859 	 158 
i 278	 312 	 746 
i 638	 130 	 930 
i 66	 845 	 109 
i 232	 741 	 218 
i 813	 983 	 3 
i 333	 857 	 143 
i 650	 27 	 898 
i 513	 847 	 229 
i 720	 541 	 466 
i 516	 327 	 651 
i 108	 605 	 436 
i 900	 243 	 824 
i 704	 309 	 727 
i 982	 541 	 443 
i 286	 354 	 627 
i 312	 687 	 265 
i 818	 337 	 620 
i 29	 850 	 77 
i 913	 571 	 464 
i 451	 88 	 812 
i 847	 195 	 827 
i 556	 95 	 971 
i 395	 799 	 133 
i 79	 782 	 258 
i 504	 68 	 841 
i 912	 380 	 669 
i 178	 198 	 717 
i 470	 226 	 860 
i 609	 140 	 860 
i 290	 590 	 428 
i 298	 438 	 619 
i 910	 993 	 94 
i 766	 389 	 646 
i 931	 467 	 525 
i 637	 971 	 68 
i 697	 883 	 199 
i 444	 61 	 855 
i 529	 530 	 436 
i 463	 140 	 854 
i 968	 429 	 482 
i 561	 726 	 273 
i 349	 637 	 361 
i 231	 403 	 673 
i 911	 335 	 634 
i 375	 972 	 41 
i 906	 669 	 271 
i 817	 114 	 838 
i 926	 642 	 417 
i 262	 106 	 981 
i 736	 74 	 888 
i 800	 635 	 282 
i 302	 983 	 85 
i 798	 214 	 711 
i 683	 126 	 866 
i 35	 500 	 487 
i 358	 406 	 514 
i 564	 224 	 719 
i 830	 150 	 922 
i 627	 411 	 682 
i 563	 147 	 760 
i 928	 946 	 104 
i 20	 249 	 782 
i 748	 47 	 981 
i 880	 729 	 370 
i 347	 764 	 235 
i 785	 123 	 958 
i 893	 686 	 238 
i 115	 516 	 438 
i 978	 144 	 893 
