c Instance Type o
c
n 250
c w	 v1	 v2
i 1022	 508 	 547 
i 849	 492 	 500 
i 1171	 127 	 885 
i 1198	 240 	 770 
i 844	 176 	 750 
i 1090	 812 	 185 
i 866	 896 	 85 
i 1175	 350 	 688 
i 997	 730 	 343 
i 1043	 582 	 447 
i 901	 952 	 23 
i 1141	 372 	 657 
i 993	 514 	 541 
i 1062	 413 	 489 
i 752	 384 	 553 
i 912	 680 	 220 
i 1256	 415 	 665 
i 1002	 627 	 322 
i 1096	 470 	 626 
i 872	 781 	 231 
i 927	 318 	 685 
i 1261	 635 	 442 
i 1075	 417 	 563 
i 1165	 763 	 300 
i 1119	 665 	 274 
i 1257	 704 	 371 
i 1101	 235 	 723 
i 929	 178 	 906 
i 815	 811 	 166 
i 997	 314 	 619 
i 868	 465 	 532 
i 751	 776 	 148 
i 996	 738 	 270 
i 875	 477 	 483 
i 1089	 235 	 859 
i 981	 185 	 849 
i 1146	 142 	 939 
i 941	 2 	 906 
i 1269	 115 	 964 
i 800	 211 	 730 
i 1091	 872 	 163 
i 1074	 51 	 917 
i 860	 120 	 817 
i 1079	 591 	 442 
i 1114	 878 	 202 
i 821	 366 	 550 
i 814	 734 	 211 
i 849	 397 	 548 
i 885	 981 	 41 
i 985	 958 	 79 
i 804	 109 	 876 
i 996	 749 	 246 
i 1097	 516 	 503 
i 883	 826 	 111 
i 821	 442 	 471 
i 900	 30 	 926 
i 969	 292 	 641 
i 1142	 465 	 548 
i 878	 725 	 284 
i 1093	 884 	 117 
i 886	 257 	 765 
i 1029	 306 	 666 
i 973	 810 	 266 
i 1015	 507 	 534 
i 931	 874 	 55 
i 1111	 145 	 790 
i 837	 505 	 488 
i 1155	 97 	 987 
i 930	 921 	 118 
i 1099	 95 	 910 
i 1001	 825 	 235 
i 1086	 987 	 12 
i 1122	 631 	 452 
i 907	 875 	 109 
i 942	 311 	 648 
i 1042	 816 	 172 
i 932	 758 	 331 
i 725	 870 	 38 
i 1175	 551 	 542 
i 811	 779 	 132 
i 898	 516 	 561 
i 939	 869 	 206 
i 831	 587 	 413 
i 977	 188 	 787 
i 1160	 495 	 543 
i 927	 952 	 75 
i 832	 590 	 362 
i 825	 699 	 227 
i 923	 743 	 294 
i 904	 450 	 543 
i 963	 701 	 395 
i 887	 754 	 316 
i 1016	 915 	 81 
i 1232	 995 	 65 
i 972	 501 	 422 
i 767	 307 	 607 
i 992	 557 	 475 
i 987	 758 	 214 
i 800	 6 	 904 
i 1088	 223 	 788 
i 1022	 502 	 449 
i 913	 669 	 232 
i 1274	 713 	 372 
i 1124	 264 	 820 
i 1073	 196 	 788 
i 1166	 821 	 225 
i 982	 954 	 42 
i 1040	 355 	 553 
i 1086	 893 	 17 
i 953	 121 	 833 
i 1158	 814 	 241 
i 1097	 494 	 495 
i 999	 26 	 893 
i 1091	 999 	 42 
i 844	 600 	 423 
i 1101	 325 	 662 
i 808	 126 	 852 
i 900	 592 	 458 
i 900	 424 	 604 
i 1035	 364 	 688 
i 909	 862 	 153 
i 987	 620 	 293 
i 1057	 392 	 527 
i 826	 94 	 824 
i 1196	 720 	 319 
i 836	 773 	 130 
i 1021	 560 	 369 
i 1041	 637 	 411 
i 783	 763 	 169 
i 1183	 944 	 82 
i 966	 403 	 574 
i 920	 639 	 262 
i 1039	 325 	 655 
i 1098	 171 	 828 
i 921	 443 	 500 
i 1086	 335 	 763 
i 1058	 670 	 340 
i 881	 401 	 536 
i 1101	 883 	 207 
i 823	 13 	 988 
i 943	 906 	 58 
i 1072	 382 	 706 
i 1122	 930 	 45 
i 932	 579 	 407 
i 1109	 328 	 747 
i 973	 775 	 167 
i 928	 247 	 829 
i 884	 867 	 89 
i 841	 230 	 702 
i 804	 757 	 178 
i 905	 814 	 102 
i 958	 264 	 729 
i 1050	 726 	 253 
i 941	 594 	 501 
i 1199	 960 	 42 
i 798	 546 	 369 
i 800	 125 	 839 
i 888	 256 	 682 
i 1002	 576 	 408 
i 1025	 851 	 84 
i 1148	 24 	 999 
i 864	 498 	 453 
i 1170	 912 	 185 
