c Instance Type c
c
n 2000
c w	 v1	 v2
i 394	 857 	 913 
i 911	 820 	 759 
i 768	 409 	 364 
i 477	 603 	 628 
i 513	 435 	 525 
i 636	 925 	 968 
i 607	 236 	 139 
i 138	 326 	 386 
i 401	 250 	 175 
i 998	 207 	 150 
i 839	 566 	 588 
i 637	 374 	 378 
i 972	 549 	 507 
i 527	 796 	 849 
i 891	 466 	 422 
i 807	 424 	 507 
i 949	 173 	 178 
i 193	 187 	 219 
i 349	 902 	 814 
i 458	 128 	 40 
i 970	 322 	 402 
i 267	 867 	 874 
i 760	 444 	 446 
i 532	 704 	 611 
i 931	 500 	 586 
i 285	 751 	 798 
i 354	 679 	 716 
i 440	 258 	 334 
i 331	 848 	 793 
i 351	 905 	 942 
i 589	 961 	 992 
i 440	 874 	 958 
i 814	 465 	 501 
i 483	 920 	 863 
i 920	 955 	 884 
i 641	 894 	 880 
i 281	 661 	 718 
i 447	 384 	 329 
i 276	 277 	 288 
i 170	 481 	 562 
i 126	 202 	 201 
i 984	 787 	 874 
i 383	 719 	 768 
i 294	 438 	 384 
i 245	 630 	 560 
i 126	 761 	 819 
i 745	 256 	 170 
i 53	 955 	 959 
i 240	 267 	 326 
i 656	 762 	 855 
i 759	 679 	 597 
i 520	 230 	 145 
i 205	 173 	 165 
i 573	 839 	 890 
i 158	 157 	 256 
i 890	 292 	 217 
i 55	 998 	 1072 
i 5	 175 	 259 
i 181	 638 	 570 
i 913	 459 	 522 
i 552	 430 	 445 
i 687	 513 	 432 
i 757	 582 	 542 
i 577	 993 	 1068 
i 629	 775 	 682 
i 833	 775 	 860 
i 831	 887 	 982 
i 903	 772 	 868 
i 497	 703 	 635 
i 889	 848 	 763 
i 248	 688 	 713 
i 700	 314 	 277 
i 232	 403 	 317 
i 224	 673 	 703 
i 971	 564 	 520 
i 719	 596 	 518 
i 592	 530 	 618 
i 337	 511 	 580 
i 4	 497 	 465 
i 833	 643 	 589 
i 483	 711 	 707 
i 712	 382 	 318 
i 41	 663 	 645 
i 674	 729 	 756 
i 185	 419 	 440 
i 730	 668 	 633 
i 203	 769 	 853 
i 653	 719 	 670 
i 88	 584 	 536 
i 686	 890 	 808 
i 362	 209 	 224 
i 666	 638 	 595 
i 289	 800 	 765 
i 984	 279 	 179 
i 332	 846 	 783 
i 958	 499 	 582 
i 699	 790 	 714 
i 384	 720 	 774 
i 916	 949 	 1021 
i 793	 291 	 300 
i 905	 375 	 456 
