c Instance Type o
c
n 200
c w	 v1	 v2
i 1030	 546 	 524 
i 1068	 886 	 40 
i 1025	 155 	 801 
i 1071	 796 	 214 
i 986	 421 	 666 
i 1047	 140 	 847 
i 1094	 272 	 650 
i 981	 220 	 869 
i 1175	 461 	 523 
i 955	 666 	 358 
i 790	 12 	 905 
i 836	 413 	 497 
i 982	 270 	 671 
i 807	 944 	 0 
i 823	 599 	 385 
i 1026	 848 	 164 
i 1127	 499 	 568 
i 948	 429 	 481 
i 812	 660 	 343 
i 994	 637 	 299 
i 1116	 965 	 26 
i 1168	 148 	 873 
i 905	 465 	 610 
i 871	 70 	 969 
i 986	 228 	 755 
i 782	 326 	 627 
i 1218	 862 	 191 
i 1126	 514 	 424 
i 1066	 112 	 959 
i 1068	 134 	 864 
i 1139	 779 	 212 
i 1014	 592 	 429 
i 858	 460 	 453 
i 801	 537 	 390 
i 1016	 618 	 355 
i 1191	 127 	 912 
i 1071	 201 	 810 
i 1053	 114 	 800 
i 1015	 85 	 848 
i 844	 574 	 389 
i 984	 250 	 669 
i 947	 122 	 916 
i 868	 604 	 325 
i 1054	 966 	 92 
i 1105	 154 	 806 
i 1010	 763 	 223 
i 874	 643 	 383 
i 928	 294 	 755 
i 1019	 142 	 924 
i 1061	 849 	 131 
i 1120	 52 	 947 
i 1053	 716 	 339 
i 1090	 989 	 42 
i 903	 337 	 632 
i 1056	 828 	 171 
i 782	 692 	 260 
i 1164	 255 	 826 
i 921	 377 	 562 
i 883	 574 	 394 
i 1062	 958 	 27 
i 887	 663 	 285 
i 942	 468 	 624 
i 1095	 964 	 129 
i 1098	 612 	 344 
i 908	 949 	 17 
i 1109	 592 	 469 
i 923	 669 	 242 
i 1079	 379 	 608 
i 731	 835 	 66 
i 1001	 124 	 970 
i 1031	 817 	 209 
i 908	 166 	 753 
i 882	 291 	 621 
i 1120	 798 	 237 
i 1156	 653 	 372 
i 978	 11 	 912 
i 1158	 632 	 446 
i 810	 162 	 791 
i 782	 893 	 27 
i 850	 969 	 29 
i 1014	 238 	 670 
i 1089	 751 	 190 
i 1175	 226 	 773 
i 1007	 650 	 309 
i 990	 364 	 726 
i 1082	 193 	 899 
i 964	 832 	 186 
i 1105	 534 	 517 
i 1125	 677 	 352 
i 1211	 834 	 189 
i 886	 964 	 116 
i 912	 732 	 289 
i 1157	 604 	 462 
i 808	 544 	 452 
i 1262	 166 	 903 
i 1085	 418 	 489 
i 1090	 893 	 181 
i 899	 260 	 720 
i 1095	 897 	 18 
i 1111	 639 	 444 
i 1047	 610 	 466 
i 837	 627 	 395 
i 1090	 855 	 87 
i 994	 585 	 467 
i 967	 615 	 470 
i 866	 598 	 370 
i 795	 545 	 402 
i 1003	 87 	 905 
i 1023	 386 	 592 
i 918	 337 	 569 
i 996	 907 	 124 
i 765	 336 	 618 
i 823	 374 	 550 
i 846	 246 	 796 
i 1140	 603 	 362 
i 999	 808 	 277 
i 983	 56 	 917 
i 821	 177 	 834 
i 1058	 705 	 384 
i 938	 318 	 637 
i 779	 849 	 88 
i 955	 264 	 740 
i 1082	 293 	 786 
i 816	 541 	 387 
i 1069	 552 	 497 
i 1001	 492 	 518 
i 1202	 778 	 244 
i 1060	 305 	 752 
i 980	 330 	 668 
i 1157	 752 	 310 
i 1201	 212 	 819 
i 1065	 317 	 767 
i 882	 696 	 246 
i 1049	 205 	 846 
i 859	 427 	 534 
i 1195	 978 	 97 
i 980	 456 	 559 
i 956	 407 	 669 
i 1033	 916 	 39 
i 1096	 372 	 721 
i 802	 110 	 825 
i 804	 37 	 930 
i 861	 489 	 448 
i 805	 841 	 137 
i 1015	 339 	 725 
i 932	 584 	 476 
i 1056	 385 	 566 
i 1091	 798 	 234 
i 1103	 1 	 957 
i 1222	 697 	 393 
i 715	 205 	 706 
i 922	 374 	 545 
i 1097	 467 	 550 
i 824	 777 	 208 
i 1222	 845 	 208 
i 1059	 225 	 744 
i 1240	 407 	 640 
i 1065	 170 	 836 
i 899	 818 	 189 
i 820	 682 	 264 
i 886	 514 	 473 
i 1001	 526 	 536 
i 1111	 34 	 902 
i 857	 734 	 176 
i 935	 832 	 248 
i 920	 754 	 170 
i 897	 480 	 526 
i 1146	 464 	 576 
i 924	 114 	 889 
i 954	 346 	 593 
i 1234	 532 	 511 
i 1063	 782 	 165 
i 782	 132 	 822 
i 750	 71 	 829 
i 879	 440 	 628 
i 880	 578 	 440 
i 987	 70 	 842 
i 963	 299 	 708 
i 1172	 65 	 942 
i 745	 368 	 531 
i 1142	 906 	 103 
i 792	 883 	 79 
i 928	 674 	 314 
i 946	 745 	 257 
i 972	 872 	 219 
i 1127	 902 	 105 
i 1145	 59 	 936 
i 1046	 747 	 333 
i 921	 140 	 953 
i 778	 53 	 897 
i 988	 169 	 778 
i 1079	 2 	 910 
i 987	 78 	 964 
i 1159	 430 	 578 
i 1117	 792 	 191 
i 977	 996 	 33 
i 1164	 797 	 178 
i 1074	 674 	 250 
i 1088	 92 	 858 
i 834	 163 	 799 
c
c
W 99257
c end of file
